species	class	copy_number	bp	percent
dana	LTR	41.0	11744.0	0.00016875942095803188
dana	LTR	67.0	13130.0	0.00018867602155815384
dana	Chimera	1452.0	386136.0	0.0055487131957638455
dana	LTR	264.0	106975.0	0.0015372138161602062
dana	LTR	182.0	67009.0	0.0009629087226649147
dana	LTR	37.0	28994.0	0.00041663919033184404
dana	LTR	337.0	81185.0	0.0011666155986442283
dana	LTR	104.0	56215.0	0.000807800651324571
dana	LTR	411.0	274062.0	0.003938227556760911
dana	LINE	42.0	26722.0	0.000383990909983015
dana	LINE	391.0	193494.0	0.002780478150447328
dana	LINE	219.0	64262.0	0.0009234347675072416
dana	LINE	86.0	9165.0	0.0001316995992064341
dana	DNA	159.0	26054.0	0.00037439185572552474
dana	LTR	50.0	6336.0	9.104731702912893e-05
dana	LTR	80.0	22434.0	0.00032237302876128126
dana	RC	3725.0	1307702.0	0.018791470734473792
dana	LINE	62.0	4979.0	7.154744183838903e-05
dana	LINE	96.0	9848.0	0.0001415142010894668
dana	DNA	259.0	122561.0	0.0017611821689405096
dana	LTR	369.0	120522.0	0.00173188206170844
dana	LINE	412.0	326935.0	0.0046980041971146245
dana	LINE	379.0	159341.0	0.0022897049467705856
dana	Chimera	164.0	38797.0	0.0005575067485446835
dana	RC	117.0	21207.0	0.00030474123299190927
dana	DNA	96.0	47598.0	0.0006839757253712876
dana	DNA	137.0	105378.0	0.001514265178960787
dana	LTR	56.0	31179.0	0.0004480372944525269
dana	LINE	110.0	67005.0	0.0009628512432981034
dana	LINE	54.0	94467.0	0.0013574758361412124
dana	LTR	81.0	13681.0	0.000196593804336413
dana	LTR	315.0	139584.0	0.0020057999842477796
dana	LINE	336.0	48922.0	0.0007030013957858341
dana	Unknown	47.0	3399.0	4.884309194791812e-05
dana	LTR	48.0	5466.0	7.854555474766709e-05
dana	LTR	1549.0	744030.0	0.010691593322156375
dana	DNA	113.0	70067.0	0.0010068516985921679
dana	LTR	84.0	26722.0	0.000383990909983015
dana	DNA	80.0	27813.0	0.0003996684072808022
dana	LTR	299.0	179145.0	0.002574285291853425
dana	LTR	1159.0	707762.0	0.010170427903278148
dana	RC	44.0	4650.0	6.681976391815806e-05
dana	RC	164.0	59860.0	0.0008601787243313853
dana	LTR	268.0	47134.0	0.0006773081188211746
dana	DNA	160.0	50846.0	0.0007306489712220784
dana	DNA	211.0	62349.0	0.0008959452603297284
dana	LINE	268.0	48066.0	0.0006907008112882119
dana	DNA	128.0	21225.0	0.00030499989014256016
dana	Chimera	165.0	32536.0	0.0004675371696432668
dana	LINE	61.0	53169.0	0.0007640301134977518
dana	DNA	31.0	6844.0	9.834719661416641e-05
dana	DNA	50.0	14979.0	0.00021524585886668594
dana	LTR	48.0	9505.0	0.00013658534538539622
